filename,bpm,key,energy
Balam Pichkari.mp3,120,2,0.2675
"Besharam Rang (From ""Pathaan"").mp3",115,3,0.237
Rang Barse [ Techno Mix ] _ HOLI RAVE FESTIVAL BANGER _ DJK [SH_6bgcGEnQ].mp3,126,2,0.1832
Holi Re Rasiya.mp3,120,2,0.2724
Khaike Paan Banaras - Remix.mp3,152,3,0.1496
"Gori Tu Latth Maar (From ""Toilet - Ek Prem Katha"").mp3",115,2,0.1395
Laal Peeli Akhiyaan.mp3,129,7,0.2382
"Holiyaan - From ""Vedaa"".mp3",125,6,0.2899
Holi Mashup 2025  Dj H Kudos  Holi Bollywood Songs  Holi Special Party Songs.mp3,129,2,0.2022
The Holi Mashup 2.mp3,134,2,0.1759
Holi Party Mashup 2022.mp3,129,2,0.3486
Are Ja Re Hat Natkhat - Tribal Tech.mp3,129,11,0.2525
Holi Party Mix _ Audio Jukebox _ Holi 2025 _ Holi Ke Superhit Gaane _ Non-Stop Holi Songs [jjA9OFu_3DE].mp3,129,7,0.4028
Holiya Mein Ude Re Gulal (Roots).mp3,126,4,0.3521
Mal De Gulal - Tribal Tech.mp3,129,9,0.3079
Rang Barse - Tribal Tech.mp3,126,2,0.3203
Kajra Mohabbat Wala - Remix.mp3,126,6,0.2467
Mere Angne Mein.mp3,65,1,0.2724
Badri Ki Dulhania (Title Track).mp3,129,2,0.3033
Holi Aayi Re | Coke Studio Bharat.mp3,133,11,0.1741
Hori Khele Raghuveera.mp3,140,6,0.1263
"Do Me A Favour Lets Play Holi Waqt- The Race Against Time, Priyanka Chopra, Akshay Kumar.mp3",199,3,0.0995
Holi Songs 2025  Holi Mashup Song Nonstop  VDJ Mahe.mp3,129,2,0.2405
Pawri Hori Hai!.mp3,123,1,0.2043
Aaj Na Chhodenge - Tribal Tech.mp3,133,0,0.3301
"Holiyaan - Vedaa  John Abraham & Sharvari  Nikhita Gandhi, Asha Sapera, MC Square, YuÌˆva, Arushi K.mp3",123,6,0.3211
